Date,Adj Close
2018/9/10,164.179993
2018/9/11,165.940002
2018/9/12,162
2018/9/13,161.360001
2018/9/14,162.320007
2018/9/17,160.580002
2018/9/18,160.300003
2018/9/19,163.059998
2018/9/20,166.020004
2018/9/21,162.929993
2018/9/24,165.410004
2018/9/25,164.910004
2018/9/26,166.949997
2018/9/27,168.839996
2018/9/28,164.460007
2018/10/1,162.440002
2018/10/2,159.330002
2018/10/3,162.429993
2018/10/4,158.850006
2018/10/5,157.330002
2018/10/8,157.25
2018/10/9,157.899994
2018/10/10,151.380005
2018/10/11,153.350006
2018/10/12,153.740005
2018/10/15,153.520004
2018/10/16,158.779999
2018/10/17,159.419998
2018/10/18,154.919998
2018/10/19,154.050003
2018/10/22,154.779999
2018/10/23,154.389999
2018/10/24,146.039993
2018/10/25,150.949997
2018/10/26,145.369995
2018/10/29,142.089996
2018/10/30,146.220001
2018/10/31,151.789993
2018/11/1,151.75
2018/11/2,150.350006
2018/11/5,148.679993
2018/11/6,149.940002
2018/11/7,151.529999
2018/11/8,147.869995
2018/11/9,144.960007
2018/11/12,141.550003
2018/11/13,142.160004
2018/11/14,144.220001
2018/11/15,143.850006
2018/11/16,139.529999
2018/11/19,131.550003
2018/11/20,132.429993
2018/11/21,134.820007
2018/11/23,131.729996
2018/11/26,136.380005
2018/11/27,135
2018/11/28,136.759995
2018/11/29,138.679993
2018/11/30,140.610001
2018/12/3,141.089996
2018/12/4,137.929993
2018/12/6,139.630005
2018/12/7,137.419998
2018/12/10,141.850006
2018/12/11,142.080002
2018/12/12,144.5
2018/12/13,145.009995
2018/12/14,144.059998
2018/12/17,140.190002
2018/12/18,143.660004
2018/12/19,133.240005
2018/12/20,133.399994
2018/12/21,124.949997
2018/12/24,124.059998
2018/12/26,134.179993
2018/12/27,134.520004
2018/12/28,133.199997
2018/12/31,131.089996
2019/1/2,135.679993
2019/1/3,131.740005
2019/1/4,137.949997
2019/1/7,138.050003
2019/1/8,142.529999
2019/1/9,144.229996
2019/1/10,144.199997
2019/1/11,143.800003
2019/1/14,145.389999
2019/1/15,148.949997
2019/1/16,147.539993
2019/1/17,148.300003
2019/1/18,150.039993
2019/1/22,147.570007
2019/1/23,144.300003
2019/1/24,145.830002
2019/1/25,149.009995
2019/1/28,147.470001
2019/1/29,144.190002
2019/1/30,150.419998
2019/1/31,166.690002
2019/2/1,165.710007
2019/2/4,169.25
2019/2/5,171.160004
2019/2/6,170.490005
2019/2/7,166.380005
2019/2/8,167.330002
2019/2/11,165.789993
2019/2/12,165.039993
2019/2/13,164.070007
2019/2/14,163.949997
2019/2/15,162.5
2019/2/19,162.289993
2019/2/20,162.559998
2019/2/21,160.039993
2019/2/22,161.889999
2019/2/25,164.619995
2019/2/26,164.130005
2019/2/27,162.809998
2019/2/28,161.449997
2019/3/1,162.279999
2019/3/4,167.369995
2019/3/5,171.259995
2019/3/6,172.509995
2019/3/7,169.130005
2019/3/8,169.600006
2019/3/11,172.070007
2019/3/12,171.919998
2019/3/13,173.369995
2019/3/14,170.169998
2019/3/15,165.979996
2019/3/18,160.470001
2019/3/19,161.570007
2019/3/20,165.440002
2019/3/21,166.080002
2019/3/22,164.339996
2019/3/25,166.289993
2019/3/26,167.679993
2019/3/27,165.869995
2019/3/28,165.550003
2019/3/29,166.690002
2019/4/1,168.699997
2019/4/2,174.199997
2019/4/3,173.539993
2019/4/4,176.020004
2019/4/5,175.720001
2019/4/8,174.929993
2019/4/9,177.580002
2019/4/10,177.820007
2019/4/11,177.509995
2019/4/12,179.100006
2019/4/15,179.649994
2019/4/16,178.869995
2019/4/17,178.779999
2019/4/18,178.279999
2019/4/22,181.440002
2019/4/23,183.779999
2019/4/24,182.580002
2019/4/25,193.259995
2019/4/26,191.490005
2019/4/29,194.779999
2019/4/30,193.399994
2019/5/1,193.029999
2019/5/2,192.529999
2019/5/3,195.470001
2019/5/6,193.880005
2019/5/7,189.770004
2019/5/8,189.539993
2019/5/9,188.649994
2019/5/10,188.339996
2019/5/13,181.539993
2019/5/14,180.729996
2019/5/15,186.270004
2019/5/16,186.990005
2019/5/17,185.300003
2019/5/20,182.720001
2019/5/21,184.820007
2019/5/22,185.320007
2019/5/23,180.869995
2019/5/24,181.059998
2019/5/28,184.309998
2019/5/29,182.190002
2019/5/30,183.009995
2019/5/31,177.470001
2019/6/3,164.149994
2019/6/4,167.5
2019/6/5,168.169998
2019/6/6,168.330002
2019/6/7,173.350006
2019/6/10,174.820007
2019/6/11,178.100006
2019/6/12,175.039993
2019/6/13,177.470001
2019/6/14,181.330002
2019/6/17,189.009995
2019/6/18,188.470001
2019/6/19,187.479996
2019/6/20,189.529999
2019/6/21,191.139999
2019/6/24,192.600006
2019/6/25,188.839996
2019/6/26,187.660004
2019/6/27,189.5
2019/6/28,193
2019/7/1,193
2019/7/2,195
2019/7/3,197.199997
2019/7/5,196.399994
2019/7/8,195.759995
2019/7/9,199.210007
2019/7/10,202.729996
2019/7/11,201.229996
2019/7/12,204.869995
2019/7/15,203.910004
2019/7/16,203.839996
2019/7/17,201.800003
2019/7/18,200.779999
2019/7/19,198.360001
2019/7/22,202.320007
2019/7/23,202.360001
2019/7/24,204.660004
2019/7/25,200.710007
2019/7/26,199.75
2019/7/29,195.940002
2019/7/30,197.039993
2019/7/31,194.229996
2019/8/1,192.729996
2019/8/2,189.020004
2019/8/5,181.729996
2019/8/6,184.509995
2019/8/7,185.149994
2019/8/8,190.160004
2019/8/9,187.850006
2019/8/12,185.369995
2019/8/13,188.449997
2019/8/14,179.710007
2019/8/15,182.589996
2019/8/16,183.699997
2019/8/19,186.169998
2019/8/20,183.809998
2019/8/21,183.550003
2019/8/22,182.039993
2019/8/23,177.75
2019/8/26,180.360001
2019/8/27,181.300003
2019/8/28,181.759995
2019/8/29,185.570007
2019/8/30,185.669998
2019/9/3,182.389999
2019/9/4,187.139999
2019/9/5,190.899994
2019/9/6,187.490005
